,Category,Product,Price
155,SPESA BIO,"Esselunga Equilibrio, farfalle integrali n.85 500 g","Euro 1,78 / kg"
156,SPESA BIO,"Esselunga Bio, cetriolo lungo biologico 200 g","Euro 4,90 / kg"
157,SPESA BIO,"Esselunga, Bio frutta frullata mela e banana conf. 2x100 g","Euro 7,45 / kg"
158,SPESA BIO,"Esselunga Bio, frutta frullata mela conf. 2x100 g","Euro 7,45 / kg"
159,SPESA BIO,"Esselunga Bio, Altromercato cioccolato fondente extra 71% cacao biologico 100 g","Euro 16,90 / kg"
160,SPESA BIO,"Esselunga Bio, Altromercato tè verde 20 filtri 40 g","Euro 54,75 / kg"
161,SPESA BIO,"Esselunga Equilibrio, Tortino con grano saraceno mais e riso senza glutine 6 pezzi 240 g","Euro 12,46 / kg"
162,SPESA BIO,"Esselunga Bio, mix di frutta secca biologica 150 g","Euro 21,94 / kg"
163,SPESA BIO,"Esselunga Bio, frutta frullata mela e albicocca conf. 2x100 g","Euro 7,45 / kg"
164,SPESA BIO,"Esselunga Bio, trofie 500 g","Euro 4,58 / kg"
165,SPESA BIO,"Esselunga Bio, Mais dolce in grani conf. 2x160 g - peso netto sgocc. 2x140 g","Euro 8,90 / kg"
166,SPESA BIO,"Bioagricola Bosco, origano di Sicilia 25 g","Euro 91,60 / kg"
167,SPESA BIO,"Esselunga Bio, frutta frullata mela e prugna conf. 2x100 g","Euro 7,45 / kg"
168,SPESA BIO,"Esselunga Bio, anacardi tostati sgusciati biologici 200 g","Euro 26,45 / kg"
169,SPESA BIO,"Esselunga Bio, frutta frullata mela e mirtillo conf. 2x100 g","Euro 7,45 / kg"
170,SPESA BIO,"Esselunga Bio, Mix di semi biologici 200 g","Euro 13,25 / kg"
171,SPESA BIO,"Esselunga Bio, frutta frullata mela e pesca conf. 2x100 g","Euro 7,45 / kg"
172,SPESA BIO,"Esselunga Bio, anacardi sgusciati biologici 30 g","Euro 39,67 / kg"
173,SPESA BIO,"Esselunga Bio, confettura extra di fichi 350 g","Euro 9,98 / kg"
174,SPESA BIO,"Esselunga Bio, semi di sesamo tostati biologici 200 g","Euro 11,95 / kg"
175,SPESA BIO,"Esselunga Bio, noci sgusciate biologiche 30 g","Euro 39,67 / kg"
176,SPESA BIO,"Esselunga Bio, mandorle sgusciate biologiche 30 g","Euro 39,67 / kg"
177,SPESA BIO,"Esselunga Bio, semi di zucca tostati biologici 200 g","Euro 14,95 / kg"
178,SPESA BIO,"Esselunga Bio, spinaci biologici 400 g","Euro 7,20 / kg"
179,SPESA BIO,"Esselunga Bio, semi di lino dorato tostati biologici 200 g","Euro 9,95 / kg"
180,SPESA BIO,"Esselunga Bio, Piselli conf. 2x160 g - peso netto sgocc. 2x140 g","Euro 8,90 / kg"
181,SPESA BIO,"Esselunga Bio, semi di chia bianca biologici 200 g","Euro 13,25 / kg"
182,SPESA BIO,"Esselunga Bio, asparagi biologici 300 g","Euro 9,27 / kg"
183,SPESA BIO,"Esselunga Bio, branzino eviscerato biologico  500 g","Euro 19,90 / kg"
184,SPESA BIO,"Esselunga Bio, Noci del Brasile sgusciate altromercato biologiche 100 g","Euro 34,90 / kg"
185,SPESA BIO,"Esselunga Bio, orata eviscerata biologica  500 g","Euro 19,90 / kg"
186,SPESA BIO,"Esselunga Bio, tisana rilassante 16 filtri 32 g","Euro 81,57 / kg"
187,SPESA BIO,"Esselunga Bio, cranberry mirtilli rossi essiccati biologici 30 g","Euro 39,67 / kg"
188,SPESA BIO,"Esselunga Bio, tisana drenante 16 filtri 32 g","Euro 81,57 / kg"
189,SPESA BIO,"Esselunga Bio, semi di girasole tostati biologici 200 g","Euro 11,15 / kg"
190,SPESA BIO,"Esselunga Bio, tisana digestiva 16 filtri 32 g","Euro 81,57 / kg"
191,SPESA BIO,"Esselunga Bio, mix con mandorle biologico 30 g","Euro 39,67 / kg"
192,SPESA BIO,"Esselunga Bio, crostatine all'albicocca 8 pezzi 336 g","Euro 6,82 / kg"
193,SPESA BIO,"Esselunga Bio, carciofi tagliati biologici 300 g","Euro 9,94 / kg"
194,SPESA BIO,"Esselunga Bio, Altromercato cioccolato al latte 100 g","Euro 16,90 / kg"
195,SPESA BIO,"Esselunga Bio, tisana depurativa 16 filtri 32 g","Euro 81,57 / kg"
196,SPESA BIO,Mazzancolla tropicale biologica 190 g 190 g,"Euro 23,90 / kg"
197,SPESA BIO,"Esselunga Bio, Altromercato tè nero 20 filtri 40 g","Euro 54,75 / kg"
198,SPESA BIO,"Esselunga, Bio semi di canapa biologici 200 g","Euro 19,85 / kg"
199,SPESA BIO,"Esselunga Bio, zenzero candito a cubetti biologico 30 g","Euro 39,67 / kg"
200,SPESA BIO,"Esselunga Bio, farro perlato precotto biologico 250 g","Euro 9,96 / kg"
201,SPESA BIO,"Esselunga Bio, nocciole sgusciate biologiche 30 g","Euro 39,67 / kg"
202,SPESA BIO,"Esselunga Bio, mele pinova biologiche 700 g","Euro 3,83 / kg"
203,SPESA BIO,"Esselunga Bio, Orzo perlato precotto biologico 250 g","Euro 8,76 / kg"
204,SPESA BIO,"Esselunga Bio, zucchero di canna integrale Altromercato biologico 500 g","Euro 4,58 / kg"
205,SPESA BIO,"Esselunga Bio, mix con goji biologico 30 g","Euro 39,67 / kg"
206,SPESA BIO,"Esselunga Bio, mix con arachidi biologico 30 g","Euro 39,67 / kg"
207,SPESA BIO,"Esselunga Bio, mix con anacardi biologico 30 g","Euro 39,67 / kg"
208,SPESA BIO,"Esselunga Bio, semi di soia tostati biologici 200 g","Euro 13,25 / kg"
209,SPESA BIO,"Cerreto, I Presto cotti orzo 240 g","Euro 12,42 / kg"
210,SPESA BIO,"Esselunga Bio, mele Stark biologiche  850 g","Euro 2,78 / kg"
211,SPESA BIO,"Esselunga Bio, verdure miste biologiche cassetta  4500 g","Euro 2,98 / kg"
212,SPESA BIO,"Esselunga Bio, cassetta frutta mista biologica  5200 g","Euro 2,98 / kg"
213,SPESA BIO,"Le Naturelle, 4 uova fresche biologiche","Euro 0,52 / pz"
214,SPESA BIO,"Granarolo, latte fresco intero biologico 1 l","Euro 2,19 / l"
215,SPESA BIO,"Alce Nero, passata di pomodoro 500 g","Euro 4,90 / kg"
216,SPESA BIO,"Granarolo, Biologico latte bio parzialmente scremato 1 l","Euro 2,19 / l"
217,SPESA BIO,"Sterzing Vipiteno, Bio yogurt al mirtillo nero 150 g","Euro 7,54 / kg"
218,SPESA BIO,"Sterzing Vipiteno, Bio yogurt bianco 150 g","Euro 7,21 / kg"
219,SPESA BIO,"Milk, Bio Kefir da Bere bianco naturale 480 g","Euro 3,53 / kg"
220,SPESA BIO,"Fiorentini, Si&No con legumi croccanti biologico senza glutine 80 g","Euro 30,00 / kg"
221,SPESA BIO,"Fiorentini, Bio gallette di grano saraceno 100 g","Euro 27,50 / kg"
222,SPESA BIO,"Fiorentini, Bio fiocchi di avena 350 g","Euro 4,58 / kg"
223,SPESA BIO,"San Salvatore, Mozzarella di Bufala Campana DOP biologica 320 g - peso netto sgocc. 125 g","Euro 18,00 / kg"
224,SPESA BIO,"Fileni, petto a fette di pollo biologico  250 g","Euro 26,99 / kg"
225,SPESA BIO,"La Russolillo, passata di pomodoro biologica 330 g","Euro 3,00 / kg"
226,SPESA BIO,"Chini, Bio la mousse Passata di mela e pera conf. 2x100 g","Euro 4,90 / kg"
227,SPESA BIO,"Fiorentini, Si&No di mais biologico 100 g","Euro 19,90 / kg"
228,SPESA BIO,"Royal Atlantic, salmone affumicato biologico 50 g","Euro 79,80 / kg"
229,SPESA BIO,"Le Naturelle, Biologico albume d'uovo biologico 250 g","Euro 9,16 / l"
230,SPESA BIO,"Rigoni di Asiago, Fiordifrutta preparazione di fragole e fragoline di bosco biologica 250 g","Euro 15,80 / kg"
231,SPESA BIO,"Chini Bio, La mousse passata di mela e fragola conf. 2x100 g","Euro 4,90 / kg"
232,SPESA BIO,"Latte Ca' Granda, Bio latte parzialmente scremato microfiltrato 1 l","Euro 1,79 / l"
233,SPESA BIO,"Galbusera, Buonpertutti cracker con farine di legumi 240 g","Euro 9,38 / kg"
234,SPESA BIO,"Sterzing Vipiteno, Bio 0,1% grassi yogurt magro bianco 150 g","Euro 7,21 / kg"
235,SPESA BIO,"Alce Nero, Legumi Lessati ceci 300 g - peso netto sgocc. 220 g","Euro 12,69 / kg"
236,SPESA BIO,"Latte Ca' Granda, Bio latte intero microfiltrato 1 l","Euro 1,79 / l"
237,SPESA BIO,"Fattoria Scaldasole, Teddi bio yogurt biologico all'albicocca conf. 2x115 g","Euro 8,61 / kg"
238,SPESA BIO,"Alce Nero, polpa di pomodoro biologica 500 g","Euro 5,70 / kg"
239,SPESA BIO,"Il Chicco Buono, gallette di mais bio 130 g","Euro 13,77 / kg"
240,SPESA BIO,"Chini Bio, Passata di mela e pesca Bio conf. 2x100 g","Euro 4,90 / kg"
241,SPESA BIO,"Pedon, Easyglut farina di riso 250 g","Euro 4,88 / kg"
242,SPESA BIO,"Chini Bio, Passata di mela e albicocca Bio conf. 2x100 g","Euro 4,90 / kg"
243,SPESA BIO,"Bauer, brodo vegetale biologico 6 dadi 60 g","Euro 45,84 / kg"
244,SPESA BIO,"Parmalat, Zymil Bio alta digeribilità latte UHT 1 l","Euro 1,79 / l"
245,SPESA BIO,"Abbot Kinney's, coco star original biologico 125 ml","Euro 17,52 / kg"
246,SPESA BIO,"Biffi, Maionese biologica 143 g","Euro 15,32 / kg"
247,SPESA BIO,"Teddi, yogurt biologico fragola 85 g","Euro 14,71 / kg"
248,SPESA BIO,"Riso Scotti, Gran Selezione Risette biologiche 130 g","Euro 15,31 / kg"
249,SPESA BIO,"Poggio del Farro, farro soffiato Bio integrale 100 g","Euro 19,60 / kg"
250,SPESA BIO,"Riso Scotti, i Bio Leggeri cracker 100% di riso bio conf. 8x25 g","Euro 15,85 / kg"
