Category,Product,Price,Quantity
spesa bio,"esselunga bio, cassetta frutta mista biologica  5200 g",2.98 € / kg,5.2 kg
spesa bio,"le naturelle, 4 uova fresche biologiche",0.52 € / pz,4.0 pz
spesa bio,"granarolo, latte fresco intero biologico 1 l",2.19 € / l,1.0 l
spesa bio,"alce nero, passata di pomodoro 500 g",4.90 € / kg,0.5 kg
spesa bio,"granarolo, biologico latte bio parzialmente scremato 1 l",2.19 € / l,1.0 l
spesa bio,"sterzing vipiteno, bio yogurt al mirtillo nero 150 g",7.54 € / kg,0.15 kg
spesa bio,"sterzing vipiteno, bio yogurt bianco 150 g",7.21 € / kg,0.15 kg
spesa bio,"milk, bio kefir da bere bianco naturale 480 g",3.53 € / kg,0.48 kg
spesa bio,"fiorentini, si&no con legumi croccanti biologico senza glutine 80 g",30.00 € / kg,0.08 kg
spesa bio,"fiorentini, bio gallette di grano saraceno 100 g",27.50 € / kg,0.1 kg
spesa bio,"fiorentini, bio fiocchi di avena 350 g",4.58 € / kg,0.35 kg
spesa bio,"san salvatore, mozzarella di bufala campana dop biologica 320 g - peso netto sgocc. 125 g",18.00 € / kg,0.125 kg
spesa bio,"fileni, petto a fette di pollo biologico  250 g",26.99 € / kg,0.25 kg
spesa bio,"la russolillo, passata di pomodoro biologica 330 g",3.00 € / kg,0.33 kg
spesa bio,"chini, bio la mousse passata di mela e pera conf. 2x100 g",4.90 € / kg,0.2 kg
spesa bio,"fiorentini, si&no di mais biologico 100 g",19.90 € / kg,0.1 kg
spesa bio,"royal atlantic, salmone affumicato biologico 50 g",79.80 € / kg,0.05 kg
spesa bio,"le naturelle, biologico albume d'uovo biologico 250 g",9.16 € / l,0.25 kg
spesa bio,"rigoni di asiago, fiordifrutta preparazione di fragole e fragoline di bosco biologica 250 g",15.80 € / kg,0.25 kg
spesa bio,"chini bio, la mousse passata di mela e fragola conf. 2x100 g",4.90 € / kg,0.2 kg
spesa bio,"latte ca' granda, bio latte parzialmente scremato microfiltrato 1 l",1.79 € / l,1.0 l
spesa bio,"galbusera, buonpertutti cracker con farine di legumi 240 g",9.38 € / kg,0.24 kg
spesa bio,"sterzing vipiteno, bio 0,1% grassi yogurt magro bianco 150 g",7.21 € / kg,0.15 kg
spesa bio,"alce nero, legumi lessati ceci 300 g - peso netto sgocc. 220 g",12.69 € / kg,0.22 kg
spesa bio,"latte ca' granda, bio latte intero microfiltrato 1 l",1.79 € / l,1.0 l
spesa bio,"fattoria scaldasole, teddi bio yogurt biologico all'albicocca conf. 2x115 g",8.61 € / kg,0.23 kg
spesa bio,"alce nero, polpa di pomodoro biologica 500 g",5.70 € / kg,0.5 kg
spesa bio,"il chicco buono, gallette di mais bio 130 g",13.77 € / kg,0.13 kg
spesa bio,"chini bio, passata di mela e pesca bio conf. 2x100 g",4.90 € / kg,0.2 kg
spesa bio,"pedon, easyglut farina di riso 250 g",4.88 € / kg,0.25 kg
spesa bio,"chini bio, passata di mela e albicocca bio conf. 2x100 g",4.90 € / kg,0.2 kg
spesa bio,"bauer, brodo vegetale biologico 6 dadi 60 g",45.84 € / kg,0.06 kg
spesa bio,"parmalat, zymil bio alta digeribilità latte uht 1 l",1.79 € / l,1.0 l
spesa bio,"abbot kinney's, coco star original biologico 125 ml",17.52 € / kg,
spesa bio,"biffi, maionese biologica 143 g",15.32 € / kg,0.143 kg
spesa bio,"teddi, yogurt biologico fragola 85 g",14.71 € / kg,0.085 kg
spesa bio,"riso scotti, gran selezione risette biologiche 130 g",15.31 € / kg,0.13 kg
spesa bio,"poggio del farro, farro soffiato bio integrale 100 g",19.60 € / kg,0.1 kg
spesa bio,"riso scotti, i bio leggeri cracker 100% di riso bio conf. 8x25 g",15.85 € / kg,0.2 kg
spesa bio,"alce nero, fagioli cannellini 300 g - peso netto sgocc. 220 g",12.69 € / kg,0.22 kg
spesa bio,"poggio del farro, gallette sottilissime di farro bio 120 g",16.59 € / kg,0.12 kg
spesa bio,"fiorentini, bio gallette mais 120 g",8.26 € / kg,0.12 kg
spesa bio,"bjorg, avena bevanda a base di avena biologica 1 l",2.99 € / l,1.0 l
spesa bio,"sojasun, greek style naturale 170 g",12.30 € / kg,0.17 kg
spesa bio,"fileni, fusi di pollo biologico  350 g",11.89 € / kg,0.35 kg
spesa bio,"fiorentini, gli originali bio fiocchi di avena integrali 350 g",5.69 € / kg,0.35 kg
spesa bio,"dailybread, segale integrale biologico pane rustico 375 g",6.11 € / kg,0.375 kg
spesa bio,"bjorg, avena integrale biologica 1 l",2.99 € / l,1.0 l
spesa bio,"fattorie osella, robiola formaggio fresco biologico 90 g",21.45 € / kg,0.09 kg
spesa bio,"fileni, pollo spezzatino biologico  300 g",21.99 € / kg,0.3 kg
spesa bio,"granarolo, biologico mozzarella bio conf. 2x220 g - peso netto sgocc. 2x100 g",13.95 € / kg,0.2 kg
spesa bio,"i bibanesi, bio kamut 200 g",15.95 € / kg,0.2 kg
spesa bio,"grissinbon, lefreschebiscottate farina di grano khorasan kamut biologiche 250 g",10.60 € / kg,0.25 kg
spesa bio,"fileni, alette di pollo biologico  500 g",6.79 € / kg,0.5 kg
spesa bio,"noberasco bio, uva sultanina biologiche 250 g",11.96 € / kg,0.25 kg
spesa bio,"più cereali bio, grano saraceno flakes 200 g",13.70 € / kg,0.2 kg
